Task,Category,Priority,Status,Details & How-To,Resource URL
"Test complete checkout flow for each tier","💰 Membership / Stripe","🔴 Critical — Do First","⬜ Not Started","Use Stripe test mode. Test subscribing to Rooted, Nourished, and Thriving tiers. After each: verify ai_credits table in Supabase updates correctly, verify tier shown in Account page, verify features unlock in the app. Use test card 4242 4242 4242 4242 with any future expiry.","https://dashboard.stripe.com/test/customers"
"Test Stripe Customer Portal (upgrade/downgrade/cancel)","💰 Membership / Stripe","🔴 Critical — Do First","⬜ Not Started","From Account page, click Manage Subscription. It should open Stripe Customer Portal. Test: upgrading from Rooted to Nourished, downgrading, and cancellation. After cancellation, user should be downgraded to free tier in Supabase.","https://dashboard.stripe.com/test/customers"
"Create Apple Developer Account","📱 iOS / Apple","🔴 Critical — Do First","⬜ Not Started","Cost: USD $99/year (approx NZD $165). Go to developer.apple.com/enroll. Sign in with your Apple ID. Choose Individual (not Organisation — org requires DUNS number and takes weeks). Pay by credit card — usually approved instantly. This gives you access to App Store Connect and Xcode certificate creation.","https://developer.apple.com/enroll/"
"Decide: Mac or Codemagic for iOS build","📱 iOS / Apple","🔴 Critical — Do First","⬜ Not Started","You need a Mac to build iOS apps. Options: (A) If you have a Mac: install Xcode from the Mac App Store (free, ~15GB). (B) No Mac: use Codemagic CI/CD — free tier includes 500 build minutes/month on macOS M2. Connect your GitHub repo → choose Ionic Capacitor → it handles the build and App Store upload automatically. Recommended for solo founder. Codemagic URL: https://codemagic.io","https://codemagic.io"
"Register Bundle ID in Apple Developer Portal","📱 iOS / Apple","🔴 Critical — Do First","⬜ Not Started","Go to developer.apple.com/account/resources/identifiers/list. Click + → App IDs → App. Description: Signal NZ. Bundle ID: Explicit → nz.co.mindcast.signal (already in your capacitor.config.ts). Enable capability: Push Notifications. Click Register.","https://developer.apple.com/account/resources/identifiers/list"
"Create App Store Connect listing","📱 iOS / Apple","🔴 Critical — Do First","⬜ Not Started","Go to appstoreconnect.apple.com. Click My Apps → +. Platform: iOS. Name: Signal (up to 30 chars). Subtitle: Women's Health & Wellbeing. Primary Language: English (Australia). Bundle ID: nz.co.mindcast.signal. SKU: signal-nz-001. Complete all metadata fields (see marketing table for copy).","https://appstoreconnect.apple.com"
"Add iOS platform to Capacitor","📱 iOS / Apple","🔴 Critical — Do First","⬜ Not Started","From your project root (needs Mac or Codemagic): 1. npm run build 2. npx cap add ios (creates /ios folder) 3. npx cap sync ios (copies web assets into native project) 4. npx cap open ios (opens Xcode). Your appId is already set to nz.co.mindcast.signal in capacitor.config.ts.","https://capacitorjs.com/docs/ios"
"Prepare iOS App Store screenshots","📱 iOS / Apple","🔴 Critical — Do First","⬜ Not Started","Required sizes: iPhone 6.7\" (1290x2796px) and iPhone 6.5\" (1242x2688px) — at least 3 screenshots each. Take them using Xcode Simulator or create marketing mockups in Canva at exact pixel dimensions. Show: dashboard, cycle tracking, nutrition, journal, habit tracker. Minimum 3 screenshots, maximum 10 per device size.","https://www.canva.com"
"Write App Store description and keywords","📱 iOS / Apple","🟠 High","⬜ Not Started","Description (4000 chars max): Lead with the problem you solve. First 3 lines are shown before 'more'. Keywords (100 chars): cycle tracking,hormone health,period tracker,nervous system,women wellness,NZ,habit tracker,menopause — no spaces after commas, do not repeat title words. Category: Health & Fitness. Age Rating: 4+.","https://developer.apple.com/app-store/product-page/"
"Add health disclaimer to app onboarding","📱 iOS / Apple","🟠 High","⬜ Not Started","Apple requires this for health apps. Add to your onboarding flow or account creation: 'Signal provides wellness information for educational purposes. It is not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified health professional.' This is also good for NZ legal compliance.","https://developer.apple.com/app-store/review/guidelines/#health-and-fitness"
"Set up TestFlight for beta distribution","📱 iOS / Apple","🟠 High","⬜ Not Started","TestFlight is free and built into App Store Connect. After your first build is uploaded: 1. Go to App Store Connect → Your App → TestFlight tab. 2. Internal Testing: up to 100 testers you add by their Apple ID. Available immediately, no review needed. 3. External Testing: up to 10,000 testers via public link — requires brief Apple review (24-48 hrs). Share the testflight.apple.com/join/XXXXXXXX link anywhere.","https://developer.apple.com/testflight/"
"Submit app for App Store review","📱 iOS / Apple","🟠 High","⬜ Not Started","After completing all above iOS steps: in Xcode, Archive the app → upload to App Store Connect → in App Store Connect, select the build → click Submit for Review. Review takes 24-48 hours. Health apps may get additional scrutiny. Common rejection reasons: missing privacy policy link, misleading screenshots, crashes in simulator.","https://developer.apple.com/app-store/review/"
"Decision: Apple IAP vs web-only subscriptions","📱 iOS / Apple","🔴 Critical — Do First","⬜ Not Started","CRITICAL BUSINESS DECISION: Apple requires In-App Purchase (IAP) for subscriptions made inside the iOS app, taking 30% (15% after year 1). Your current Stripe setup bypasses this but must not promote/link to external payment from inside the app. Two options: (A) Web-first model — users subscribe at your website, log in on app. Allowed, no Apple cut. (B) Implement Apple IAP — 30% fee but smoother UX. For a bootstrapped solo founder, Option A (web-first) is strongly recommended to start.","https://developer.apple.com/app-store/review/guidelines/#in-app-purchase"
"Run npx cap sync android after every build","🤖 Android / Capacitor","🟠 High","⬜ Not Started","Before testing on Android or submitting to Play Store: npm run build && npx cap sync android. This copies your latest /dist web assets into the Android project and updates plugin native code. Do this every time you change the web app.","https://capacitorjs.com/docs/cli/commands/sync"
"Fix server URL in capacitor.config.ts (CRITICAL)","🤖 Android / Capacitor","🔴 Critical — Do First","⬜ Not Started","IMPORTANT: Your capacitor.config.ts currently points to https://9c072836-f23c-44b6-b233-7c8a036b1620.lovableproject.com — a Lovable.dev hosted URL. This means the app loads from the internet rather than bundled assets. This is unreliable for production (if Lovable goes down, your app breaks). Change this to use bundled assets: remove the server.url and server.cleartext lines from capacitor.config.ts. The app will then load from the /dist folder directly.","https://capacitorjs.com/docs/config"
"Update Play Store listing with new screenshots and description","🤖 Android / Capacitor","🟠 High","⬜ Not Started","Log into play.google.com/console. Update: store listing description (copy from App Store description), screenshots (1080x1920px minimum for phone), and feature graphic (1024x500px). These directly affect app store search rankings.","https://play.google.com/console"
"Set up Google Play Internal Testing for beta","🤖 Android / Capacitor","🟠 High","⬜ Not Started","In Google Play Console → Testing → Internal Testing. Create new release → upload your .aab file. Add testers by Gmail address (up to 100). They receive an opt-in link and can install from Play Store immediately, no review required. This is faster and simpler than TestFlight.","https://play.google.com/console"
"Check current Capacitor version (v8.3.0 — up to date)","🤖 Android / Capacitor","🟢 Low / Nice to Have","⬜ Not Started","You are on Capacitor 8.3.0 which is current as of mid-2025. No update needed right now. To check in future: npx cap --version. To update safely within same major version: npm update @capacitor/core @capacitor/ios @capacitor/android @capacitor/cli && npx cap sync. Full migration guides at capacitorjs.com/docs/updating.","https://capacitorjs.com/docs/updating"
"Verify all 6 email templates render correctly","📧 Email / Resend","🔴 Critical — Do First","⬜ Not Started","The 6 existing templates (in supabase/functions/send-email/templates.ts): Welcome, Subscription Confirmed, Top-up Confirmed, Renewal, Plan Changed, Cancellation. Test each by triggering the real event or by calling the edge function directly via Supabase dashboard. Check on mobile (most email is read on mobile).","https://resend.com/emails"
"Add missing password reset email verification","📧 Email / Resend","🟠 High","⬜ Not Started","Supabase Auth handles password reset emails by default using its own email system. Go to Supabase Dashboard → Authentication → Email Templates. Customise the Password Reset template to match your Signal brand (use your purple/cream colours, Signal logo, same tone as other emails). This is separate from Resend.","https://supabase.com/dashboard/project/hwcgbcfqxzzhvivcdroh/auth/templates"
"Build weekly engagement/digest email (not yet built)","📧 Email / Resend","🟡 Medium","⬜ Not Started","A weekly email to re-engage users is one of the highest-ROI retention tools for wellness apps. Suggested cadence: every Sunday evening. Content: their cycle phase for the coming week, one habit tip, one journal prompt, feature of the week. This needs to be built as a new edge function + Resend template. Consider using a tool like Loops.so (https://loops.so) which integrates with Supabase and is designed for exactly this use case.","https://loops.so"
"Update email sender from mindcast.co.nz to signal.nz (if desired)","📧 Email / Resend","🟡 Medium","⬜ Not Started","Currently all emails send from support@mindcast.co.nz. If your brand is Signal NZ and your domain is signal.nz (or signalnz.co.nz), set up Resend domain authentication for that domain and update the FROM address in supabase/functions/send-email/index.ts. This improves brand consistency and email deliverability.","https://resend.com/domains"
"Audit all 31 routes — confirm feature gates are correct","🔐 Security / Gates","🔴 Critical — Do First","⬜ Not Started","Review the security-gates CSV (table 3 in this Airtable). Every route in App.tsx needs to be checked: does the content inside match the intended tier requirement? Key concern: new pages (Embodiment, Parenting, Connect courses) — are they gated correctly? Test as a free user, rooted user, and nourished user.","https://github.com"
"Test anonymous/unauthenticated user flow","🔐 Security / Gates","🔴 Critical — Do First","⬜ Not Started","Open your app in an incognito browser window (no login). Navigate to every route manually. Confirm: (1) sensitive health data is NOT visible, (2) AI features don't fire without auth, (3) the upgrade prompt appears appropriately, (4) you cannot access /admin or /coach without authentication.","https://github.com"
"Verify Supabase RLS policies on sensitive tables","🔐 Security / Gates","🔴 Critical — Do First","⬜ Not Started","In Supabase Dashboard → Table Editor, check each sensitive table: journal_entries, mindfulness_logs, habit_completions, workout_logs, body_measurements, cycle_logs, ai_credits. Each should have RLS enabled with policy: users can only read/write their own rows (WHERE user_id = auth.uid()). If any table has RLS disabled, it means ALL authenticated users can read ALL users' data — critical security issue.","https://supabase.com/dashboard/project/hwcgbcfqxzzhvivcdroh/database/tables"
"Verify /admin route requires admin authentication","🔐 Security / Gates","🟠 High","⬜ Not Started","The /admin route exists in your app (src/pages/Admin.tsx). Confirm it checks for admin role — in Account.tsx the admin role check queries Supabase. Make sure a regular user navigating to /admin gets redirected, not sees an empty admin panel.","https://github.com"
"Remove or protect /animation-poc and /brand routes","🔐 Security / Gates","🟡 Medium","⬜ Not Started","These are developer/internal routes outside the main Layout. /brand shows brand guidelines, /animation-poc is a proof of concept. These should either be password-protected or removed before public launch. Anyone can currently navigate to these URLs.","https://github.com"
"Review CORS on Edge Functions","🔐 Security / Gates","🟡 Medium","⬜ Not Started","Most Supabase Edge Functions allow all origins by default. For functions that handle payments (create-checkout, stripe-webhook, customer-portal), add explicit CORS headers restricting to your production domain. Check the CORS headers in each function's response.","https://supabase.com/docs/guides/functions/cors"
"Confirm no API keys committed to git","🔐 Security / Gates","🔴 Critical — Do First","⬜ Not Started","Run: git log --all --full-history -- .env to check if .env was ever committed. Also run: git grep -i 'sk_live' or 'RESEND_API_KEY' to check for leaked Stripe/Resend keys in source code. Your VITE_SUPABASE_PUBLISHABLE_KEY in .env is fine to expose (it's the anon key, designed to be public). Never commit SUPABASE_SERVICE_ROLE_KEY.","https://github.com"
"Set up PostHog properly with env var (remove hardcoded key)","📡 Monitoring / Ops","🟠 High","⬜ Not Started","Your src/lib/analytics.ts has a hardcoded fallback PostHog token. Replace with proper env var: VITE_PUBLIC_POSTHOG_PROJECT_TOKEN. Go to posthog.com, create project, copy token. Add to .env and Vercel environment variables. PostHog free tier: 1 million events/month. Use it to watch session recordings of beta testers and see where they drop off.","https://posthog.com"
"Set up monitoring for Supabase Edge Function failures","📡 Monitoring / Ops","🟠 High","⬜ Not Started","Go to Supabase Dashboard → Edge Functions → each function → Logs. Set up a regular habit (weekly) of checking for error spikes. Key functions to watch: stripe-webhook, send-email, tts-generate, meal-plan-ai. Supabase Pro plan adds better logging. Also: Sentry will capture any errors thrown from frontend calls to these functions.","https://supabase.com/dashboard/project/hwcgbcfqxzzhvivcdroh/functions"
"Create Stripe promotional coupons for beta testers","💰 Membership / Stripe","🔴 Critical — Do First","⬜ Not Started","Go to Stripe Dashboard → Products → Coupons → Create coupon. Create these: (1) BETA2025 — 100% off, duration: 3 months, limit: 50 redemptions. (2) FOUNDER50 — 50% off forever, limit: 20 redemptions. (3) SIGNAL1MONTH — 100% off, duration: 1 month, limit: 100 redemptions. Enable 'Allow promotion codes' in your Checkout Session settings so users can enter the code at checkout.","https://dashboard.stripe.com/coupons"
"Review pricing strategy for NZ market","💰 Membership / Stripe","🟠 High","⬜ Not Started","Research competitor pricing: Clue (free with premium $14.99 USD/month), Natural Cycles ($89.99 USD/year), Headspace ($13 USD/month). Your 3 tiers (Rooted/Nourished/Thriving) need NZD pricing. Suggested starting prices: Rooted $9.99/month, Nourished $19.99/month, Thriving $29.99/month. Consider annual pricing (e.g. 2 months free) as it dramatically reduces churn.","https://stripe.com/nz"
"Verify Stripe product IDs match production account","💰 Membership / Stripe","🔴 Critical — Do First","⬜ Not Started","From the codebase audit, your product IDs are: Rooted=prod_UDBbsFCvpYtvUN, Nourished=prod_U9Pqh2vkb2wrNR, Thriving=prod_U9Pr8k3iP6Bler, Top-up=prod_U9PrdS82rTl5Bw. Go to stripe.com/dashboard and confirm these IDs exist in your production account (not test mode). Check the Stripe API version used is 2025-08-27.basil or compatible.","https://dashboard.stripe.com/products"
"Add annual subscription pricing","💰 Membership / Stripe","🟡 Medium","⬜ Not Started","Create annual price variants for each tier in Stripe (e.g. $99.99/year for Rooted = 2 months free). Add an annual toggle to your Membership page. Annual pricing reduces churn significantly — users who pay annually are 4-5x more likely to stay than monthly subscribers.","https://dashboard.stripe.com/products"
"Create Instagram Business Account @signalnz","📣 Marketing","🔴 Critical — Do First","⬜ Not Started","If not already done: go to Instagram → Settings → Account → Switch to Professional Account → Business. Use handle @signalnz or @signal.nz. Connect to a Facebook Page (required for Business). Add your website URL, category: Health & Wellness, email. Once set up, you get analytics, the ability to run ads, and the Link in Bio link.","https://www.instagram.com"
"Create TikTok Creator account","📣 Marketing","🟠 High","⬜ Not Started","Go to tiktok.com and create an account with @signalnz. Switch to Creator account for analytics. Profile: add your website link (once you have 1000 followers, or use a Linktree), bio: 'Women's health app built in NZ. Track your cycle, habits & nervous system. 🌿'. Start posting before launch — even documenting the build process performs well.","https://www.tiktok.com"
"Set up Linktree or link-in-bio page","📣 Marketing","🟠 High","⬜ Not Started","Create a Linktree (linktree.com) or Beacons (beacons.ai) page as your social media landing page. Add links to: Download on App Store, Download on Google Play, Subscribe (your website checkout), Beta Waitlist (if building it), Contact/Support. This is your one URL that goes in every bio.","https://linktr.ee"
"Create 10 Instagram launch post series","📣 Marketing","🟠 High","⬜ Not Started","Plan these 10 posts before launch day: (1) Founder story: why I built this. (2) The problem: what happens when women ignore their cycle. (3) Feature: cycle tracking demo. (4) Feature: habit tracker. (5) Feature: nervous system practices. (6) Feature: nutrition & meal planning. (7) Social proof: beta tester quote. (8) Behind the scenes: building an app as a solo founder. (9) How it works: 60-second walkthrough. (10) LAUNCH: it's live. Design all in Canva using your brand colours (purple #5C4A9E, rose #C4526E, cream #FAF8F5).","https://www.canva.com"
"Create 3 Instagram Reels before launch","📣 Marketing","🟠 High","⬜ Not Started","Reels get 3-4x more organic reach than static posts. Create: (1) 30-sec app walkthrough with voiceover — show the cycle view, journal prompt, habit tracker in action. (2) 'What your cycle means for your energy this week' — educational reel using text overlays. (3) Founder story reel — why you built Signal. Film on your phone, edit in CapCut (free), export 1080x1920px, post at 7-9am NZST on a weekday.","https://www.capcut.com"
"Research and list 10 NZ wellness micro-influencers","📣 Marketing","🟠 High","⬜ Not Started","Search Instagram hashtags: #nzwellness, #nzfitness, #nzhormones, #nznutrition, #aucklandwellness. Target accounts with 3k-50k followers, 3-6% engagement rate, genuine NZ audience. Record name, handle, follower count, email if visible, and DM them using the influencer template (see marketing content table). Offer: 3 months free premium access. No payment required — free access converts far better.","https://www.instagram.com"
"Set up Product Hunt listing","📣 Marketing","🟡 Medium","⬜ Not Started","Product Hunt gives you a burst of early adopters. Set up 2 weeks before launch: (1) Create PH profile and comment on other launches to build credibility. (2) Tell followers/beta testers to create PH accounts and follow you. (3) Launch at 12:01am PST (8pm NZST) to get a full day. (4) Prepare: tagline 'Women's health app built for NZ women', gallery images 1270x760px, a GIF or short video of the app. Respond to every comment within minutes.","https://www.producthunt.com"
"Write App Store and Play Store descriptions","📣 Marketing","🔴 Critical — Do First","⬜ Not Started","App Store description (4000 chars): open with the problem (why women's health has been ignored), describe the solution (Signal), list key features (cycle, nutrition, movement, journal, nervous system, habits), include social proof once you have it, end with CTA. Play Store: same content, slightly more SEO-keyword-dense. See the marketing content table for complete copy templates.","https://developer.apple.com/app-store/product-page/"
"Set up Google Analytics 4 (optional — PostHog preferred)","📣 Marketing","🟢 Low / Nice to Have","⬜ Not Started","You already have PostHog which is better for product analytics. Only add GA4 if you plan to run Google Ads. If yes: analytics.google.com → Create Property → copy the G-XXXXXXXX ID → add the gtag.js snippet to your index.html. GA4 is primarily useful for ad attribution, not product insight.","https://analytics.google.com"
"Update Privacy Policy for cycle data and AI processing","⚖️ Legal / Privacy","🔴 Critical — Do First","⬜ Not Started","Your current Privacy Policy needs to explicitly cover: (1) Cycle/menstrual data collection and storage (this is sensitive health data under NZ Privacy Act 2020). (2) AI processing of personal health data (which AI providers you use: Supabase, OpenAI via edge functions). (3) Data retention periods. (4) How to request deletion (you have GDPR delete function — link to it). Use iubenda.com (freemium) to generate a compliant policy, or update manually. URL: your app's /privacy-policy route.","https://iubenda.com"
"Add health data disclaimer to app and website","⚖️ Legal / Privacy","🔴 Critical — Do First","⬜ Not Started","Required by Apple and good practice generally. Add to: (1) App onboarding screen. (2) Footer of the website/app. Text: 'Signal provides general wellness information and is not a medical device. Content is for informational purposes only and should not replace professional medical advice. Always consult a qualified healthcare provider for medical decisions.' This also protects you legally under NZ Consumer Guarantees Act.","https://www.privacy.org.nz"
"Review Terms of Service with current features","⚖️ Legal / Privacy","🟠 High","⬜ Not Started","Your /terms page needs to reflect all current features: AI-generated content disclaimer, subscription cancellation policy, data deletion rights (GDPR + NZ Privacy Act), user-generated content (journal entries, community posts). Use Termly.io (free) to generate an updated ToS, or review and update the current one manually.","https://termly.io"
"NZ Privacy Act 2020 compliance check","⚖️ Legal / Privacy","🟠 High","⬜ Not Started","The NZ Privacy Act 2020 (effective December 2020) requires: (1) Notifying users about data collection at point of collection. (2) Allowing users to access and correct their data (you have this via GDPR export/delete functions). (3) Notifying the Privacy Commissioner within 72 hours of a serious privacy breach. (4) Not sending NZ data offshore without adequate safeguards. Since you use US servers (Supabase, Stripe, ElevenLabs), add standard contractual clauses to your privacy policy.","https://www.privacy.org.nz/privacy-act-2020/"
"Register business entity if not already done","⚖️ Legal / Privacy","🟠 High","⬜ Not Started","If you're operating commercially, register a company with the NZ Companies Office (companies.govt.nz). Cost: $10.22 online. A limited liability company protects your personal assets. Alternatively, register as a sole trader (free but no liability protection). You'll need this for Stripe (requires business details), Apple Developer (can stay as individual), and tax purposes.","https://www.companies.govt.nz"
"Trademark search for 'Signal' in NZ","⚖️ Legal / Privacy","🟡 Medium","⬜ Not Started","Search the NZ trademark register for 'Signal' in Class 42 (software/tech services) and Class 44 (health services). Go to iponz.govt.nz. If 'Signal' is taken, you may need a different name or to operate as 'Signal NZ' with NZ in the name. Filing cost: NZD $150/class. Consider a trademark attorney for advice — usually $500-2000 for initial filing.","https://www.iponz.govt.nz/manage-ip/trade-marks/search-trade-marks/"
"Recruit first 20 beta testers","🧪 Beta Testing","🔴 Critical — Do First","⬜ Not Started","Sources: (1) Your personal network — who are your friends/family who would use a women's wellness app? (2) Instagram followers — post a beta invite story. (3) Facebook Groups — post in NZ women's health/fitness groups. (4) Existing Mindcast contacts if relevant. Target: 10 iOS testers, 10 Android testers. Send them your beta invite email (see email templates table) with their coupon code.","https://github.com"
"Create beta feedback survey","🧪 Beta Testing","🔴 Critical — Do First","⬜ Not Started","Create a short survey using Tally.so (free) or Google Forms. Questions: (1) What device are you on? (2) How easy was it to get started? (3) Which feature do you use most? (4) What's missing? (5) Would you pay for this? (6) How much would you pay? (7) Would you recommend it? Rate 1-10. Link: share in your beta WhatsApp/Slack group after testers have used the app for 1 week.","https://tally.so"
"Set up beta tester community (WhatsApp or Slack)","🧪 Beta Testing","🔴 Critical — Do First","⬜ Not Started","Create a WhatsApp group or Slack workspace for beta testers. This gives you real-time feedback and creates a community feel before launch. Name it something warm: 'Signal Beta Crew' or 'Signal Founding Members'. Post regular updates on what you're building, ask questions, share sneak peeks of new features. This group becomes your most loyal early users.","https://slack.com"
"Run NPS survey after 2 weeks of beta","🧪 Beta Testing","🟠 High","⬜ Not Started","Net Promoter Score measures how likely users are to recommend you (0-10 scale). Send via email or Tally form after testers have used the app for 14 days. NPS formula: % Promoters (9-10) minus % Detractors (0-6). Score above 50 is excellent for a new product. Use the feedback to prioritise your final fixes before App Store launch.","https://tally.so"
"Collect written testimonials from beta testers","🧪 Beta Testing","🟠 High","⬜ Not Started","Ask your most engaged beta testers for a 2-3 sentence written testimonial. Use these on: App Store listing, your website landing page, Instagram posts, Product Hunt launch. Ask specifically: 'What problem did Signal solve for you?' and 'What's your favourite thing about it?' Specific benefit-driven testimonials convert much better than generic praise.","https://github.com"
"Fix server URL in capacitor.config.ts","🛠️ Technical / Dev","🔴 Critical — Do First","⬜ Not Started","URGENT: Your app currently loads from https://9c072836-f23c-44b6-b233-7c8a036b1620.lovableproject.com — a Lovable hosting URL. This is unreliable for production. Remove the server.url and server.cleartext lines from capacitor.config.ts. The app will then use bundled assets from the /dist folder. After this change, you must run npx cap sync after every build to update the native apps.","https://capacitorjs.com/docs/config"
"Optimize main bundle size (currently 1.4MB)","🛠️ Technical / Dev","🟡 Medium","⬜ Not Started","Your main bundle is 1.4MB (461KB gzipped) — large but manageable. The Nutrition bundle is 580KB. Consider: (1) Running npm run build and checking the Rollup chunk analysis. (2) Ensure all heavy components are already lazy-loaded (they are). (3) Check if Three.js (3D) can be deferred further. The warning about chunks > 500KB is from Vite — this is expected for complex apps.","https://vitejs.dev/guide/features.html#build-optimizations"
"Deploy all 39 Supabase Edge Functions","🛠️ Technical / Dev","🔴 Critical — Do First","⬜ Not Started","Run: supabase functions deploy --project-ref hwcgbcfqxzzhvivcdroh to deploy all edge functions. Or deploy individually: supabase functions deploy function-name. Verify in Supabase Dashboard → Edge Functions that all 39 functions show as deployed. Key functions: stripe-webhook, send-email, tts-generate, meal-plan-ai, cycle-ai.","https://supabase.com/dashboard/project/hwcgbcfqxzzhvivcdroh/functions"
"Set up Vercel environment variables for production","🛠️ Technical / Dev","🔴 Critical — Do First","⬜ Not Started","In your Vercel dashboard → Project → Settings → Environment Variables, add: VITE_SENTRY_DSN (from sentry.io), VITE_PUBLIC_POSTHOG_PROJECT_TOKEN (from posthog.com). Also ensure VITE_SUPABASE_URL and VITE_SUPABASE_PUBLISHABLE_KEY are set. Without these, Sentry and PostHog will not work in production.","https://vercel.com/dashboard"
"Build and test a production release (not dev)","🛠️ Technical / Dev","🟠 High","⬜ Not Started","Run: npm run build && npx cap sync to create a production build. Test this build locally: npx vite preview. Then deploy to your hosting. Many bugs only appear in production builds (minification, tree-shaking, environment variable issues). Test the full user journey: signup, onboarding, subscribe, use app, cancel, logout.","https://vitejs.dev/guide/build.html"
